HCP1  	HCP2    NKI1
100307	101006	102157
100408	101410	103645
101107	102008	103714
101309	102311	103872
101915	102816	105290
103111	103515	105488
103414	104012	105521
103818	105216	106057
105014	105923	106780
105115	106521	108355
106016	107321	109459
108828	107422	109727
110411	108121	109819
111312	108323	111282
111716	108525	112249
113619	109123	112347
113922	109325	112828
114419	111413	113013
115320	112819	113030
116524	113215	114232
117122	113821	115321
118528	114924	115454
118730	116120	115564
118932	117324	115824
120111	119833	116039
122317	120212	116065
122620	120515	116415
123117	121315	116834
123925	121618	116842
124422	121719	117168
125525	123420	118051
126325	124220	118439
127630	124826	119866
127933	126628	120538
128127	126931	120557
128632	128329	120652
129028	129533	121498
130013	131621	122169
130316	132118	122512
131217	133625	122816
131722	133827	122844
133019	134324	123173
133928	135528	123429
135225	136227	123657
135932	137027	123971
136833	137128	125762
138534	137936	126919
139637	138231	127733
140925	139233	127800
144832	140824	130249
146432	141422	131127
147737	142424	131832
148335	142626	132088
148840	143325	132717
149337	143527	132850
149539	144226	132995
149741	144428	133436
151223	146129	133894
151526	147030	134795
151627	148032	135671
153025	148941	136018
154734	150423	136303
156637	150625	136416
159340	150726	137073
160123	151728	137496
161731	152831	137679
162733	153429	137714
163129	153833	138558
176542	154431	139212
178950	154835	139300
188347	154936	139480
189450	155231	141473
190031	156233	141795
192540	156334	144314
196750	157336	144344
198451	157437	144495
199655	158035	144667
201111	158136	144702
208226	159138	146714
211417	159239	146865
211720	159441	147122
212318	160830	148071
214423	161630	149794
221319	162026	150525
239944	162228	150589
245333	163331	150716
280739	163432	151580
298051	164030	152189
366446	164131	152384
397760	164939	152968
414229	165234	153114
499566	165840	153131
654754	166438	153790
672756	167036	154419
751348	167743	154423
756055	168139	155419
792564	168341	155458
856766	169343	156263
857263	169444	156678
899885	170934	157873
		157947
		158411
		158560
		158744
		159429
            	160099
            	161200
		161513
		162251
		162704
		162902
		163059
		164326
		164900
		165532
		165660
		166099
		166987
		167827
		168013
		168239
		168357
		168413
		168489
		169007
		170363
		171266
		173085
		173286
		173496
		174363
		174886
		177330
		177681
		177857
		178174
		178453
		179005
		179283
		179309
            	179454
		179873
		180093
		180308
		181439
		182376
		182604
		183457
		183726
		185428
		185676
		185781
		186277
		186697
		187635
		188199
		188219
		188854
		188939
		189478
		190053
		190501
